	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_231	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_232	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_233	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_234	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_235	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_236	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_237	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_238	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_239	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_240	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_241	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_242	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_243	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_244	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_245	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_246	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	NA
ASV_247	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_248	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_249	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_250	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_251	NA	NA	NA	NA	NA	NA	NA
ASV_252	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_253	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_254	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_255	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_256	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_257	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_258	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_259	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_260	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_261	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_262	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_263	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_264	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_265	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__guilliermondii
ASV_266	k__Bacteria	 Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	g__Turicibacter	s__
ASV_267	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_268	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_269	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_270	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	s__
ASV_271	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_272	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_273	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_274	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_275	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_276	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_277	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_278	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_279	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_280	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_281	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_282	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_283	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	s__
ASV_284	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_285	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_286	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_287	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_288	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_289	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_290	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_291	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_292	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_293	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_294	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_295	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_296	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_297	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_298	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__	s__
ASV_299	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_300	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_301	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_302	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_303	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_304	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__
ASV_305	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_306	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_307	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_308	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_309	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_310	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_311	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_312	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_313	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_314	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_315	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__
ASV_316	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	NA	NA
ASV_317	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_318	k__Bacteria	 Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
ASV_319	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_320	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__saccharogumia
ASV_321	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_322	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_323	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_324	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_325	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_326	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_327	k__Bacteria	 Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Erwinia	s__dispersa
ASV_328	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_329	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_330	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_331	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_332	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_333	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_334	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_335	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_336	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_337	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_338	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_339	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_340	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_341	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_342	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_343	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_344	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_345	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_346	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_347	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_348	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_349	k__Bacteria	 Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	NA	NA
ASV_350	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_351	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_352	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_353	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_354	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_355	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_356	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_357	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_358	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_359	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_360	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_361	NA	NA	NA	NA	NA	NA	NA
ASV_362	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_363	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_364	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_365	NA	NA	NA	NA	NA	NA	NA
ASV_366	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_367	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_368	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_369	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_370	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_371	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_372	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_373	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_374	k__Bacteria	 Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	NA	NA
ASV_375	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_376	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_377	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_378	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Epulopiscium	s__
ASV_379	NA	NA	NA	NA	NA	NA	NA
ASV_380	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	s__
ASV_381	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_382	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_383	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_384	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_385	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_386	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
ASV_387	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_388	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_389	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_390	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_391	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_392	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_393	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_394	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_395	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_396	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_397	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_398	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_399	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_400	NA	NA	NA	NA	NA	NA	NA
ASV_401	k__Bacteria	 Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__
ASV_402	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_403	NA	NA	NA	NA	NA	NA	NA
ASV_404	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_405	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_406	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_407	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__
ASV_408	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_409	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__	s__
ASV_410	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_411	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_412	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_413	k__Bacteria	 Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans
ASV_414	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_415	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_416	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__	s__
ASV_417	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_418	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Epulopiscium	s__
ASV_419	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_420	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_421	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_422	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_423	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_424	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_425	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_426	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_427	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_428	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_429	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_430	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_431	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_432	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_433	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_434	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_435	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_436	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	NA
ASV_437	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_438	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_439	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_440	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_441	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_442	NA	NA	NA	NA	NA	NA	NA
ASV_443	k__Bacteria	 Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter	NA
ASV_444	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_445	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_446	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	NA
ASV_447	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_448	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_449	k__Bacteria	 Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	NA	NA
ASV_450	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_451	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_452	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_453	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_454	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_455	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_456	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_457	k__Bacteria	 Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Adlercreutzia	s__
ASV_458	k__Bacteria	 Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Janthinobacterium	s__
ASV_459	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_460	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_461	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_462	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_463	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_464	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_465	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_466	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_467	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_468	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_469	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_470	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_471	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_472	k__Bacteria	 Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__Chitinophaga	s__
